DATE,PMI
2020-06-30,47.8
2020-07-31,51.1
2020-08-31,52.5
2020-09-30,52.5
2020-10-31,53.3
2020-11-30,53.1
2020-12-31,52.7
2021-01-31,52.3
2021-02-28,53.3
2021-03-31,54.8
2021-04-30,56.7
2021-05-31,58.5
2021-06-30,56.6
2021-07-31,55.7
2021-08-31,52.5
2021-09-30,53.3
2021-10-31,54.4
2021-11-30,54.8
2021-12-31,54.3
2022-01-31,51.1
2022-02-28,53.5
2022-03-31,52.8
2022-04-30,51.3
2022-05-31,51.3
2022-06-30,53.5
2022-07-31,50.8
2022-08-31,49.3
2022-09-30,49.6
2022-10-31,49.0
2022-11-30,48.0
2022-12-31,48.2
2023-01-31,49.7
2023-02-28,52.1
2023-03-31,53.4
2023-04-30,54.2
2023-05-31,54.4
